Date,SGOV,STAG,SPG,O,SPY,INDA,FXI
1993-03-19 00:00:00-05:00,,,,,0.213,,
1993-06-18 00:00:00-04:00,,,,,0.318,,
1993-09-17 00:00:00-04:00,,,,,0.286,,
1993-12-17 00:00:00-05:00,,,,,0.317,,
1994-03-18 00:00:00-05:00,,,,,0.271,,
1994-03-22 00:00:00-05:00,,,0.440868,,,,
1994-06-17 00:00:00-04:00,,,,,0.305,,
1994-06-29 00:00:00-04:00,,,0.440868,,,,
1994-09-16 00:00:00-04:00,,,,,0.288,,
1994-09-29 00:00:00-04:00,,,0.440868,,,,
1994-10-26 00:00:00-04:00,,,,0.072674,,,
1994-11-25 00:00:00-05:00,,,,0.072674,,,
1994-12-16 00:00:00-05:00,,,,,0.363,,
1994-12-27 00:00:00-05:00,,,,0.072674,,,
1994-12-28 00:00:00-05:00,,,0.440868,,,,
1995-01-26 00:00:00-05:00,,,,0.072674,,,
1995-02-23 00:00:00-05:00,,,,0.072674,,,
1995-03-17 00:00:00-05:00,,,,,0.268,,
1995-03-28 00:00:00-05:00,,,,0.072674,,,
1995-03-30 00:00:00-05:00,,,0.456646,,,,
1995-04-25 00:00:00-04:00,,,,0.072674,,,
1995-05-25 00:00:00-04:00,,,,0.072674,,,
1995-06-16 00:00:00-04:00,,,,,0.316,,
1995-06-29 00:00:00-04:00,,,,0.072674,,,
1995-07-10 00:00:00-04:00,,,0.456646,,,,
1995-08-16 00:00:00-04:00,,,,0.037791,,,
1995-08-30 00:00:00-04:00,,,,0.075097,,,
1995-09-15 00:00:00-04:00,,,,,0.312,,
1995-09-28 00:00:00-04:00,,,,0.075097,,,
1995-10-06 00:00:00-04:00,,,0.456646,,,,
1995-10-30 00:00:00-05:00,,,,0.075097,,,
1995-11-29 00:00:00-05:00,,,,0.075097,,,
1995-12-15 00:00:00-05:00,,,,,0.382,,
1995-12-21 00:00:00-05:00,,,,0.261628,,,
1996-01-10 00:00:00-05:00,,,0.456646,,,,
1996-02-28 00:00:00-05:00,,,,0.075097,,,
1996-03-15 00:00:00-05:00,,,,,0.285,,
1996-03-28 00:00:00-05:00,,,,0.075097,,,
